DATE,CAWACC
1998-01-01,15027564.0
1998-04-01,15386368.0
1998-07-01,16028572.0
1998-10-01,16300048.0
1999-01-01,16458820.0
1999-04-01,16521092.0
1999-07-01,16670600.0
1999-10-01,17245736.0
2000-01-01,17550600.0
2000-04-01,18200448.0
2000-07-01,18407852.0
2000-10-01,18652332.0
2001-01-01,19407000.0
2001-04-01,19381008.0
2001-07-01,19478620.0
2001-10-01,19310416.0
2002-01-01,19619300.0
2002-04-01,20268920.0
2002-07-01,20411368.0
2002-10-01,20604824.0
2003-01-01,20582912.0
2003-04-01,20751268.0
2003-07-01,21117956.0
2003-10-01,21817928.0
2004-01-01,21986896.0
2004-04-01,22898800.0
2004-07-01,23020200.0
2004-10-01,22885104.0
2005-01-01,23205020.0
2005-04-01,23372404.0
2005-07-01,24023316.0
2005-10-01,24586504.0
2006-01-01,24906344.0
2006-04-01,25240256.0
2006-07-01,25648516.0
2006-10-01,26333676.0
2007-01-01,27049952.0
2007-04-01,27126820.0
2007-07-01,27374564.0
2007-10-01,27717392.0
2008-01-01,28341704.0
2008-04-01,28457120.0
2008-07-01,28307260.0
2008-10-01,27817760.0
2009-01-01,26523056.0
2009-04-01,26660664.0
2009-07-01,26464388.0
2009-10-01,26429780.0
2010-01-01,26467792.0
2010-04-01,26858368.0
2010-07-01,27085920.0
2010-10-01,27317928.0
2011-01-01,27946440.0
2011-04-01,28164220.0
2011-07-01,28624516.0
2011-10-01,28770776.0
2012-01-01,30021568.0
2012-04-01,30226096.0
2012-07-01,30654812.0
2012-10-01,31008732.0
2013-01-01,31575384.0
2013-04-01,32122352.0
2013-07-01,32563532.0
2013-10-01,33144620.0
2014-01-01,34096336.0
2014-04-01,34888376.0
2014-07-01,35989268.0
2014-10-01,36644744.0
2015-01-01,38258688.0
2015-04-01,38679940.0
2015-07-01,39325116.0
2015-10-01,40397252.0
2016-01-01,41689628.0
2016-04-01,42324680.0
2016-07-01,43316640.0
2016-10-01,44622104.0
2017-01-01,44196352.0
2017-04-01,45626964.0
2017-07-01,46376976.0
2017-10-01,46934420.0
2018-01-01,47815336.0
2018-04-01,48529772.0
2018-07-01,49366436.0
2018-10-01,50177124.0
2019-01-01,51773596.0
2019-04-01,52662672.0
2019-07-01,53223144.0
2019-10-01,54095460.0
2020-01-01,54334963.0
2020-04-01,31663183.0
