DATE,MEHOINUSCAA646N
1984-01-01,25287
1985-01-01,26981
1986-01-01,29010
1987-01-01,30146
1988-01-01,30287
1989-01-01,33009
1990-01-01,33290
1991-01-01,33664
1992-01-01,34903
1993-01-01,34073
1994-01-01,35331
1995-01-01,37009
1996-01-01,38812
1997-01-01,39694
1998-01-01,40934
1999-01-01,43629
2000-01-01,46816
2001-01-01,47262
2002-01-01,47437
2003-01-01,49300
2004-01-01,49222
2005-01-01,51755
2006-01-01,55319
2007-01-01,55734
2008-01-01,57014
2009-01-01,56134
2010-01-01,54283
2011-01-01,53367
2012-01-01,57020
2013-01-01,60794
2014-01-01,60487
2015-01-01,63636
2016-01-01,66637
2017-01-01,70038
2018-01-01,70489
2019-01-01,78105
