DATE,PCU3121331213
2003-12-01,100.0
2004-01-01,99.9
2004-02-01,99.9
2004-03-01,100.5
2004-04-01,100.3
2004-05-01,100.7
2004-06-01,100.1
2004-07-01,100.3
2004-08-01,100.8
2004-09-01,100.9
2004-10-01,101.0
2004-11-01,102.1
2004-12-01,102.5
2005-01-01,104.2
2005-02-01,103.4
2005-03-01,104.2
2005-04-01,103.2
2005-05-01,103.9
2005-06-01,103.2
2005-07-01,104.5
2005-08-01,104.5
2005-09-01,104.5
2005-10-01,105.1
2005-11-01,105.0
2005-12-01,105.1
2006-01-01,105.0
2006-02-01,105.8
2006-03-01,110.1
2006-04-01,110.2
2006-05-01,109.4
2006-06-01,110.3
2006-07-01,110.4
2006-08-01,111.5
2006-09-01,111.4
2006-10-01,111.4
2006-11-01,111.3
2006-12-01,111.3
2007-01-01,110.6
2007-02-01,111.0
2007-03-01,111.0
2007-04-01,111.0
2007-05-01,111.0
2007-06-01,111.2
2007-07-01,111.4
2007-08-01,112.8
2007-09-01,112.6
2007-10-01,113.9
2007-11-01,113.9
2007-12-01,113.9
2008-01-01,114.3
2008-02-01,114.6
2008-03-01,114.7
2008-04-01,114.7
2008-05-01,114.3
2008-06-01,114.2
2008-07-01,114.4
2008-08-01,114.2
2008-09-01,115.3
2008-10-01,114.9
2008-11-01,114.7
2008-12-01,114.8
2009-01-01,117.1
2009-02-01,117.3
2009-03-01,117.5
2009-04-01,117.1
2009-05-01,116.9
2009-06-01,117.3
2009-07-01,117.4
2009-08-01,115.6
2009-09-01,115.9
2009-10-01,116.3
2009-11-01,116.3
2009-12-01,116.5
2010-01-01,116.6
2010-02-01,115.9
2010-03-01,116.2
2010-04-01,116.2
2010-05-01,116.5
2010-06-01,116.4
2010-07-01,116.2
2010-08-01,116.3
2010-09-01,116.7
2010-10-01,116.4
2010-11-01,116.5
2010-12-01,116.4
2011-01-01,116.8
2011-02-01,116.7
2011-03-01,116.2
2011-04-01,117.0
2011-05-01,116.7
2011-06-01,116.5
2011-07-01,116.4
2011-08-01,116.6
2011-09-01,117.1
2011-10-01,117.2
2011-11-01,116.7
2011-12-01,116.7
2012-01-01,117.2
2012-02-01,116.9
2012-03-01,117.6
2012-04-01,117.6
2012-05-01,118.0
2012-06-01,117.9
2012-07-01,118.4
2012-08-01,118.5
2012-09-01,118.8
2012-10-01,119.5
2012-11-01,119.3
2012-12-01,119.6
2013-01-01,120.3
2013-02-01,119.9
2013-03-01,120.2
2013-04-01,120.0
2013-05-01,120.1
2013-06-01,119.9
2013-07-01,120.0
2013-08-01,120.0
2013-09-01,121.2
2013-10-01,120.2
2013-11-01,119.8
2013-12-01,121.1
2014-01-01,120.4
2014-02-01,119.9
2014-03-01,120.0
2014-04-01,120.2
2014-05-01,120.3
2014-06-01,119.6
2014-07-01,120.0
2014-08-01,120.2
2014-09-01,120.2
2014-10-01,120.2
2014-11-01,120.3
2014-12-01,120.3
2015-01-01,120.3
2015-02-01,120.3
2015-03-01,120.1
2015-04-01,120.1
2015-05-01,120.2
2015-06-01,120.6
2015-07-01,120.6
2015-08-01,121.0
2015-09-01,120.7
2015-10-01,120.7
2015-11-01,120.7
2015-12-01,120.7
2016-01-01,121.2
2016-02-01,121.2
2016-03-01,121.2
2016-04-01,121.3
2016-05-01,121.5
2016-06-01,121.5
2016-07-01,121.8
2016-08-01,121.8
2016-09-01,121.4
2016-10-01,121.4
2016-11-01,122.8
2016-12-01,122.7
2017-01-01,122.9
2017-02-01,123.5
2017-03-01,124.0
2017-04-01,124.1
2017-05-01,124.1
2017-06-01,124.1
2017-07-01,124.0
2017-08-01,124.0
2017-09-01,124.1
2017-10-01,124.0
2017-11-01,124.0
2017-12-01,124.0
2018-01-01,124.2
2018-02-01,124.4
2018-03-01,124.7
2018-04-01,124.6
2018-05-01,124.6
2018-06-01,124.1
2018-07-01,124.1
2018-08-01,124.1
2018-09-01,123.9
2018-10-01,124.1
2018-11-01,124.0
2018-12-01,124.0
2019-01-01,124.1
2019-02-01,124.1
2019-03-01,124.2
2019-04-01,124.2
2019-05-01,124.3
2019-06-01,124.4
2019-07-01,124.2
2019-08-01,124.5
2019-09-01,125.0
2019-10-01,125.3
2019-11-01,125.3
2019-12-01,125.3
2020-01-01,125.5
2020-02-01,128.2
2020-03-01,128.2
2020-04-01,128.2
2020-05-01,128.2
2020-06-01,128.9
2020-07-01,129.0
2020-08-01,129.0
2020-09-01,128.3
